opt_label,n,runs,t_naive_ms,t_opt_ms,correct
O0,0,10000,0.028900,0.026400,OK
O0,10,10000,13.090100,4.682900,OK
O0,20,10000,26.523700,16.424100,OK
O0,50,5000,81.850500,43.940400,OK
O0,100,1000,92.129100,87.813400,OK
O0,150,1000,203.047400,121.392400,OK
O0,200,500,167.101000,76.406700,OK
O0,500,100,226.878500,137.840700,OK
O0,1000,10,77.607000,34.089200,OK
O0,2000,10,541.331600,159.936200,OK
O0,3000,1,68.221000,31.394700,OK
O0,5000,1,297.910000,102.095800,OK
O0,10000,1,5074.264900,364.536500,OK
O0,20000,1,13218.230100,1773.905900,OK
O1,0,10000,0.023400,0.020800,OK
O1,10,10000,2.691100,1.827500,OK
O1,20,10000,12.325800,5.553000,OK
O1,50,5000,56.919200,20.978500,OK
O1,100,1000,53.904000,12.414300,OK
O1,150,1000,170.200300,61.876800,OK
O1,200,500,133.546900,23.745500,OK
O1,500,100,238.260400,86.931200,OK
O1,1000,10,82.368400,13.794300,OK
O1,2000,10,425.558700,80.748700,OK
O1,3000,1,80.723100,12.809200,OK
O1,5000,1,244.252900,26.819100,OK
O1,10000,1,2351.410000,128.498000,OK
O1,20000,1,7430.286300,632.119500,OK
O2,0,10000,0.017000,0.017000,OK
O2,10,10000,1.556600,1.433800,OK
O2,20,10000,5.602700,4.135400,OK
O2,50,5000,16.753500,11.368300,OK
O2,100,1000,13.378600,9.952800,OK
O2,150,1000,29.576300,24.056200,OK
O2,200,500,31.612400,22.935100,OK
O2,500,100,48.972500,24.480100,OK
O2,1000,10,23.553200,12.542000,OK
O2,2000,10,262.211200,52.692800,OK
O2,3000,1,64.360300,8.305500,OK
O2,5000,1,270.649400,30.703600,OK
O2,10000,1,1872.742500,176.699400,OK
O2,20000,1,7656.469800,529.020700,OK
O3,0,10000,0.009400,0.009800,OK
O3,10,10000,1.593700,1.262300,OK
O3,20,10000,8.419000,3.687700,OK
O3,50,5000,20.296500,10.497800,OK
O3,100,1000,10.705900,6.654500,OK
O3,150,1000,28.705200,15.411900,OK
O3,200,500,26.376600,10.125200,OK
O3,500,100,46.220500,14.664100,OK
O3,1000,10,23.710900,7.990900,OK
O3,2000,10,244.410400,42.804900,OK
O3,3000,1,100.551100,7.667800,OK
O3,5000,1,260.058700,26.879300,OK
O3,10000,1,1668.467700,124.267600,OK
O3,20000,1,8067.414700,358.256700,OK
