opt_label,n,runs,t_naive_ms,t_opt_ms,correct
O0,16,500,1.282100,0.819300,OK
O0,32,500,4.401000,2.941400,OK
O0,48,500,10.948100,6.773200,OK
O0,64,500,19.118500,11.042300,OK
O0,80,100,5.356200,2.808500,OK
O0,96,100,7.120000,4.306300,OK
O0,112,100,11.465200,6.822200,OK
O0,128,100,11.824300,5.735700,OK
O0,144,100,17.515200,9.632600,OK
O0,160,100,9.998500,5.066500,OK
O0,176,100,11.217500,6.963700,OK
O0,192,100,23.195000,8.158800,OK
O0,208,100,19.066600,8.476300,OK
O0,224,100,22.863700,13.378300,OK
O0,240,100,49.547200,19.698800,OK
O0,256,100,37.164600,14.904900,OK
O0,272,30,9.791700,4.299900,OK
O0,288,30,18.544300,9.605200,OK
O0,304,30,18.951800,6.430400,OK
O0,320,30,23.367800,10.421000,OK
O0,336,30,14.874000,7.578200,OK
O0,352,30,20.745000,7.437000,OK
O0,368,30,16.122400,8.091400,OK
O0,384,30,18.003500,8.541100,OK
O0,400,30,21.666300,9.306200,OK
O0,416,30,21.278700,10.012800,OK
O0,432,30,34.176200,12.869700,OK
O0,448,30,35.533100,11.606000,OK
O0,464,30,34.131200,12.540100,OK
O0,480,30,31.610700,16.743000,OK
O0,496,30,36.902200,16.800200,OK
O0,512,30,50.033000,15.854900,OK
O0,576,10,20.579300,6.453500,OK
O0,640,10,25.211700,8.136900,OK
O0,704,10,25.226000,11.404600,OK
O0,768,10,39.795800,13.838600,OK
O0,832,10,46.139000,18.818900,OK
O0,896,10,44.776700,19.627400,OK
O0,960,10,54.926800,27.301200,OK
O0,1024,10,159.955700,28.697700,OK
O0,1088,3,27.100500,10.793000,OK
O0,1152,3,30.621700,11.655900,OK
O0,1216,3,67.971700,25.203800,OK
O0,1280,3,64.781500,21.098600,OK
O0,1344,3,71.632500,28.549800,OK
O0,1408,3,82.718300,24.040800,OK
O0,1472,3,70.822600,25.106100,OK
O0,1536,3,90.539300,20.654900,OK
O0,1600,3,60.370200,23.175800,OK
O0,1664,3,80.588400,24.591800,OK
O0,1728,3,75.250900,28.987100,OK
O0,1792,3,92.662100,24.593100,OK
O0,1856,3,94.065800,33.562800,OK
O0,1920,3,182.880500,51.369300,OK
O0,1984,3,105.701300,28.668300,OK
O0,2048,3,348.266400,33.890100,OK
O1,16,500,0.374900,0.331100,OK
O1,32,500,1.933800,0.710100,OK
O1,48,500,2.670700,1.040400,OK
O1,64,500,8.624700,2.194400,OK
O1,80,100,3.207100,0.888800,OK
O1,96,100,3.911300,0.901600,OK
O1,112,100,6.334300,1.839700,OK
O1,128,100,9.999800,2.667600,OK
O1,144,100,12.447700,3.299400,OK
O1,160,100,8.706800,2.222000,OK
O1,176,100,17.184200,3.789900,OK
O1,192,100,22.751500,5.006500,OK
O1,208,100,22.379200,3.680800,OK
O1,224,100,26.363200,4.536700,OK
O1,240,100,31.004600,7.211500,OK
O1,256,100,27.048000,5.972000,OK
O1,272,30,12.985600,2.627500,OK
O1,288,30,15.759900,3.463400,OK
O1,304,30,17.086400,4.412500,OK
O1,320,30,20.869600,2.479400,OK
O1,336,30,18.003200,3.595500,OK
O1,352,30,20.876100,4.485000,OK
O1,368,30,8.492100,2.150600,OK
O1,384,30,9.895700,1.934200,OK
O1,400,30,11.905400,2.332000,OK
O1,416,30,11.612300,2.171800,OK
O1,432,30,13.115100,2.815700,OK
O1,448,30,16.265300,3.648500,OK
O1,464,30,22.624700,3.997800,OK
O1,480,30,27.834700,4.788900,OK
O1,496,30,30.218800,5.114200,OK
O1,512,30,57.788600,8.462700,OK
O1,576,10,13.780700,2.433800,OK
O1,640,10,23.162700,3.492600,OK
O1,704,10,20.737500,3.035900,OK
O1,768,10,29.791600,4.279700,OK
O1,832,10,63.096900,11.926000,OK
O1,896,10,58.933400,9.556200,OK
O1,960,10,69.953100,12.052600,OK
O1,1024,10,112.876700,8.258000,OK
O1,1088,3,16.343200,2.765700,OK
O1,1152,3,34.199100,4.962100,OK
O1,1216,3,39.401900,7.565900,OK
O1,1280,3,46.833400,5.934700,OK
O1,1344,3,33.486600,5.139900,OK
O1,1408,3,64.749900,11.168900,OK
O1,1472,3,33.900800,4.908400,OK
O1,1536,3,75.012200,8.157900,OK
O1,1600,3,37.128200,6.350300,OK
O1,1664,3,78.443900,13.751500,OK
O1,1728,3,45.501700,8.107600,OK
O1,1792,3,82.291800,10.927400,OK
O1,1856,3,66.149200,16.075000,OK
O1,1920,3,87.352100,12.243400,OK
O1,1984,3,63.768900,10.088500,OK
O1,2048,3,240.663800,14.097000,OK
O2,16,500,0.170500,0.127500,OK
O2,32,500,0.756000,0.432600,OK
O2,48,500,1.685300,1.012900,OK
O2,64,500,1.530700,1.743900,OK
O2,80,100,0.610900,0.651600,OK
O2,96,100,1.692200,1.164000,OK
O2,112,100,2.114800,1.634000,OK
O2,128,100,3.678400,3.124000,OK
O2,144,100,5.602600,3.922800,OK
O2,160,100,4.588200,3.304400,OK
O2,176,100,4.768100,3.663900,OK
O2,192,100,8.827400,4.759500,OK
O2,208,100,6.772800,4.522700,OK
O2,224,100,9.951700,5.752600,OK
O2,240,100,7.208300,4.761000,OK
O2,256,100,12.667100,7.658500,OK
O2,272,30,5.021200,2.926400,OK
O2,288,30,4.252000,2.235800,OK
O2,304,30,4.289000,2.758400,OK
O2,320,30,5.846000,3.203600,OK
O2,336,30,7.313000,3.926600,OK
O2,352,30,8.005300,4.271200,OK
O2,368,30,6.142700,3.865100,OK
O2,384,30,9.918600,6.016600,OK
O2,400,30,8.715300,4.926300,OK
O2,416,30,14.587500,5.961000,OK
O2,432,30,11.545100,6.334100,OK
O2,448,30,14.135000,6.046900,OK
O2,464,30,14.487600,7.728900,OK
O2,480,30,17.630000,7.387000,OK
O2,496,30,15.132500,6.957800,OK
O2,512,30,57.261500,7.014400,OK
O2,576,10,9.393000,3.401800,OK
O2,640,10,11.217600,5.013400,OK
O2,704,10,13.279200,5.494000,OK
O2,768,10,47.424900,7.394000,OK
O2,832,10,18.287200,5.441900,OK
O2,896,10,27.423700,9.131300,OK
O2,960,10,37.004700,10.676100,OK
O2,1024,10,143.172300,12.042200,OK
O2,1088,3,16.717100,5.285000,OK
O2,1152,3,23.689500,6.518900,OK
O2,1216,3,17.076500,4.734700,OK
O2,1280,3,52.867100,6.458400,OK
O2,1344,3,24.008000,7.152700,OK
O2,1408,3,43.094200,7.793500,OK
O2,1472,3,30.609400,8.829000,OK
O2,1536,3,105.277800,12.333200,OK
O2,1600,3,35.096400,8.816600,OK
O2,1664,3,72.769400,10.949500,OK
O2,1728,3,36.895100,9.654700,OK
O2,1792,3,107.637100,12.398800,OK
O2,1856,3,43.067200,13.634200,OK
O2,1920,3,99.469600,13.926800,OK
O2,1984,3,58.172600,17.775900,OK
O2,2048,3,242.970700,15.257900,OK
O3,16,500,0.166600,0.114600,OK
O3,32,500,0.793800,0.414600,OK
O3,48,500,1.788600,0.739600,OK
O3,64,500,2.278800,1.233900,OK
O3,80,100,0.679800,0.355200,OK
O3,96,100,1.237600,0.687700,OK
O3,112,100,2.169600,1.149900,OK
O3,128,100,3.027100,1.147500,OK
O3,144,100,3.273300,1.683000,OK
O3,160,100,3.971400,1.810700,OK
O3,176,100,4.302800,2.297500,OK
O3,192,100,5.871500,2.392200,OK
O3,208,100,7.003500,2.793000,OK
O3,224,100,7.726400,3.971100,OK
O3,240,100,7.928500,3.849700,OK
O3,256,100,12.402600,5.985000,OK
O3,272,30,2.889100,1.735500,OK
O3,288,30,3.260900,1.038600,OK
O3,304,30,4.226600,2.298800,OK
O3,320,30,4.238900,1.412200,OK
O3,336,30,8.497800,1.960800,OK
O3,352,30,5.642900,2.140200,OK
O3,368,30,8.169400,3.185800,OK
O3,384,30,8.024700,2.906400,OK
O3,400,30,9.522200,3.670400,OK
O3,416,30,12.470800,3.864000,OK
O3,432,30,11.508100,4.366500,OK
O3,448,30,12.984700,3.644700,OK
O3,464,30,12.903000,4.449900,OK
O3,480,30,13.562200,5.927500,OK
O3,496,30,18.887300,6.190300,OK
O3,512,30,43.322400,6.058500,OK
O3,576,10,9.608800,2.820700,OK
O3,640,10,13.304500,3.003500,OK
O3,704,10,13.634900,4.425900,OK
O3,768,10,46.316700,2.844200,OK
O3,832,10,20.670200,6.020300,OK
O3,896,10,33.554000,4.992000,OK
O3,960,10,29.401900,6.667400,OK
O3,1024,10,177.620300,9.981600,OK
O3,1088,3,14.101100,3.342100,OK
O3,1152,3,25.000700,3.812900,OK
O3,1216,3,16.577900,3.867700,OK
O3,1280,3,44.379500,3.624600,OK
O3,1344,3,21.481600,5.457300,OK
O3,1408,3,54.421100,6.191300,OK
O3,1472,3,26.973400,6.307600,OK
O3,1536,3,73.938500,5.962500,OK
O3,1600,3,38.261500,6.471800,OK
O3,1664,3,63.265400,5.780700,OK
O3,1728,3,42.760500,8.098600,OK
O3,1792,3,83.699300,9.472800,OK
O3,1856,3,48.246500,8.485400,OK
O3,1920,3,86.582000,8.436000,OK
O3,1984,3,60.304900,9.640000,OK
O3,2048,3,283.870600,13.658400,OK
