algo,n,runs,time_ms,result
naive,8192,5000,14.295303,4198400
unroll2,8192,5000,10.301876,4198400
unroll4,8192,5000,7.116686,4198400
unroll8,8192,5000,3.920315,4198400
unroll16,8192,5000,2.109023,4198400
unroll32,8192,5000,1.771764,4198400
recursive,8192,5000,36.036540,4198400
naive,16384,2000,20.640916,8396800
unroll2,16384,2000,12.403784,8396800
unroll4,16384,2000,10.113430,8396800
unroll8,16384,2000,4.833105,8396800
unroll16,16384,2000,3.613423,8396800
unroll32,16384,2000,3.053763,8396800
recursive,16384,2000,35.583931,8396800
naive,32768,1000,51.669611,16793600
unroll2,32768,1000,17.359269,16793600
unroll4,32768,1000,11.364022,16793600
unroll8,32768,1000,5.637953,16793600
unroll16,32768,1000,4.177407,16793600
unroll32,32768,1000,4.145007,16793600
recursive,32768,1000,36.648517,16793600
naive,65536,500,26.441324,33587200
unroll2,65536,500,15.808406,33587200
unroll4,65536,500,11.066694,33587200
unroll8,65536,500,5.505243,33587200
unroll16,65536,500,3.712183,33587200
unroll32,65536,500,4.310546,33587200
recursive,65536,500,29.163079,33587200
naive,131072,200,17.403555,67174400
unroll2,131072,200,11.703715,67174400
unroll4,131072,200,6.058060,67174400
unroll8,131072,200,3.362285,67174400
unroll16,131072,200,3.187448,67174400
unroll32,131072,200,3.461051,67174400
recursive,131072,200,22.030873,67174400
naive,262144,100,15.454145,134348800
unroll2,262144,100,7.427766,134348800
unroll4,262144,100,7.624627,134348800
unroll8,262144,100,4.792414,134348800
unroll16,262144,100,3.867672,134348800
unroll32,262144,100,2.586461,134348800
recursive,262144,100,24.050353,134348800
naive,524288,50,12.423616,268697600
unroll2,524288,50,7.603960,268697600
unroll4,524288,50,8.146511,268697600
unroll8,524288,50,5.687307,268697600
unroll16,524288,50,4.055002,268697600
unroll32,524288,50,3.930198,268697600
recursive,524288,50,20.960139,268697600
naive,1048576,20,9.790598,537395200
unroll2,1048576,20,7.737163,537395200
unroll4,1048576,20,4.533748,537395200
unroll8,1048576,20,4.554356,537395200
unroll16,1048576,20,3.548285,537395200
unroll32,1048576,20,3.070555,537395200
recursive,1048576,20,22.221178,537395200
naive,4194304,5,9.612290,-2145386496
unroll2,4194304,5,9.868144,-2145386496
unroll4,4194304,5,5.848852,-2145386496
unroll8,4194304,5,5.080212,-2145386496
unroll16,4194304,5,7.031526,-2145386496
unroll32,4194304,5,4.455035,-2145386496
recursive,4194304,5,30.171522,-2145386496
naive,67108864,1,34.404646,33554432
unroll2,67108864,1,28.485396,33554432
unroll4,67108864,1,19.981823,33554432
unroll8,67108864,1,17.611515,33554432
unroll16,67108864,1,16.704644,33554432
unroll32,67108864,1,17.140702,33554432
recursive,67108864,1,222.080806,33554432
